# Columns: x  m_tilde  y(=rho/rho_*)  compactness(=m/x)  Phi
# y_c_crit = 9.999992e+03
# Status: x_max
2.199592e-02  1.078206e-02  3.144351e+02  4.901846e-01  1.729780e+00
2.210806e-02  1.083317e-02  3.104342e+02  4.900101e-01  1.736183e+00
2.222081e-02  1.088443e-02  3.064877e+02  4.898304e-01  1.742580e+00
2.233418e-02  1.093583e-02  3.025949e+02  4.896455e-01  1.748971e+00
2.244816e-02  1.098738e-02  2.987551e+02  4.894555e-01  1.755357e+00
2.256277e-02  1.103907e-02  2.949674e+02  4.892605e-01  1.761736e+00
2.267800e-02  1.109092e-02  2.912311e+02  4.890606e-01  1.768110e+00
2.279387e-02  1.114292e-02  2.875456e+02  4.888557e-01  1.774478e+00
2.291038e-02  1.119507e-02  2.839100e+02  4.886460e-01  1.780840e+00
2.302754e-02  1.124738e-02  2.803237e+02  4.884316e-01  1.787196e+00
2.314534e-02  1.129984e-02  2.767859e+02  4.882125e-01  1.793547e+00
2.326379e-02  1.135247e-02  2.732961e+02  4.879888e-01  1.799891e+00
2.338291e-02  1.140526e-02  2.698534e+02  4.877605e-01  1.806229e+00
2.350268e-02  1.145821e-02  2.664573e+02  4.875278e-01  1.812562e+00
2.362313e-02  1.151133e-02  2.631071e+02  4.872907e-01  1.818888e+00
2.374425e-02  1.156462e-02  2.598021e+02  4.870492e-01  1.825209e+00
2.386604e-02  1.161807e-02  2.565416e+02  4.868034e-01  1.831523e+00
2.398852e-02  1.167170e-02  2.533251e+02  4.865535e-01  1.837832e+00
2.411169e-02  1.172550e-02  2.501520e+02  4.862994e-01  1.844134e+00
2.423555e-02  1.177948e-02  2.470215e+02  4.860412e-01  1.850431e+00
2.436011e-02  1.183363e-02  2.439332e+02  4.857790e-01  1.856722e+00
2.448538e-02  1.188797e-02  2.408864e+02  4.855129e-01  1.863006e+00
2.461135e-02  1.194248e-02  2.378804e+02  4.852429e-01  1.869285e+00
2.473804e-02  1.199718e-02  2.349149e+02  4.849690e-01  1.875557e+00
2.486545e-02  1.205207e-02  2.319891e+02  4.846914e-01  1.881824e+00
2.499358e-02  1.210715e-02  2.291025e+02  4.844102e-01  1.888084e+00
2.512245e-02  1.216241e-02  2.262545e+02  4.841253e-01  1.894339e+00
2.525205e-02  1.221787e-02  2.234447e+02  4.838368e-01  1.900587e+00
2.538239e-02  1.227352e-02  2.206724e+02  4.835448e-01  1.906829e+00
2.551348e-02  1.232937e-02  2.179371e+02  4.832494e-01  1.913065e+00
2.564532e-02  1.238542e-02  2.152384e+02  4.829507e-01  1.919296e+00
2.577792e-02  1.244168e-02  2.125756e+02  4.826486e-01  1.925520e+00
2.591128e-02  1.249813e-02  2.099484e+02  4.823432e-01  1.931738e+00
2.604541e-02  1.255479e-02  2.073561e+02  4.820347e-01  1.937950e+00
2.618032e-02  1.261166e-02  2.047983e+02  4.817230e-01  1.944156e+00
2.631601e-02  1.266874e-02  2.022744e+02  4.814082e-01  1.950356e+00
2.645248e-02  1.272603e-02  1.997841e+02  4.810905e-01  1.956550e+00
2.658974e-02  1.278354e-02  1.973269e+02  4.807697e-01  1.962738e+00
2.672780e-02  1.284127e-02  1.949022e+02  4.804461e-01  1.968920e+00
2.686667e-02  1.289922e-02  1.925097e+02  4.801196e-01  1.975096e+00
2.700634e-02  1.295738e-02  1.901488e+02  4.797904e-01  1.981265e+00
2.714683e-02  1.301578e-02  1.878191e+02  4.794584e-01  1.987429e+00
2.728814e-02  1.307440e-02  1.855202e+02  4.791238e-01  1.993587e+00
2.743028e-02  1.313325e-02  1.832517e+02  4.787866e-01  1.999738e+00
2.757325e-02  1.319233e-02  1.810131e+02  4.784468e-01  2.005884e+00
2.771706e-02  1.325165e-02  1.788039e+02  4.781045e-01  2.012024e+00
2.786172e-02  1.331121e-02  1.766239e+02  4.777598e-01  2.018157e+00
2.800722e-02  1.337100e-02  1.744725e+02  4.774127e-01  2.024285e+00
2.815358e-02  1.343104e-02  1.723494e+02  4.770632e-01  2.030407e+00
2.830081e-02  1.349132e-02  1.702542e+02  4.767115e-01  2.036523e+00
2.844890e-02  1.355185e-02  1.681864e+02  4.763576e-01  2.042632e+00
2.859787e-02  1.361263e-02  1.661458e+02  4.760015e-01  2.048736e+00
2.874773e-02  1.367366e-02  1.641318e+02  4.756433e-01  2.054834e+00
2.889847e-02  1.373495e-02  1.621442e+02  4.752831e-01  2.060926e+00
2.905010e-02  1.379650e-02  1.601826e+02  4.749208e-01  2.067012e+00
2.920264e-02  1.385830e-02  1.582466e+02  4.745566e-01  2.073092e+00
2.935608e-02  1.392037e-02  1.563358e+02  4.741905e-01  2.079166e+00
2.951044e-02  1.398271e-02  1.544499e+02  4.738226e-01  2.085234e+00
2.966572e-02  1.404532e-02  1.525886e+02  4.734528e-01  2.091296e+00
2.982192e-02  1.410819e-02  1.507515e+02  4.730814e-01  2.097352e+00
2.997906e-02  1.417135e-02  1.489382e+02  4.727082e-01  2.103403e+00
3.013713e-02  1.423478e-02  1.471485e+02  4.723334e-01  2.109448e+00
3.029616e-02  1.429849e-02  1.453820e+02  4.719571e-01  2.115486e+00
3.045613e-02  1.436248e-02  1.436384e+02  4.715792e-01  2.121519e+00
3.061707e-02  1.442676e-02  1.419173e+02  4.711998e-01  2.127547e+00
3.077897e-02  1.449132e-02  1.402185e+02  4.708190e-01  2.133568e+00
3.094185e-02  1.455618e-02  1.385416e+02  4.704368e-01  2.139583e+00
3.110571e-02  1.462134e-02  1.368864e+02  4.700532e-01  2.145593e+00
3.127055e-02  1.468679e-02  1.352524e+02  4.696684e-01  2.151597e+00
3.143639e-02  1.475254e-02  1.336396e+02  4.692823e-01  2.157596e+00
3.160323e-02  1.481860e-02  1.320474e+02  4.688951e-01  2.163588e+00
3.177107e-02  1.488496e-02  1.304758e+02  4.685067e-01  2.169575e+00
3.193993e-02  1.495163e-02  1.289243e+02  4.681172e-01  2.175556e+00
3.210982e-02  1.501862e-02  1.273927e+02  4.677267e-01  2.181532e+00
3.228073e-02  1.508592e-02  1.258807e+02  4.673352e-01  2.187502e+00
3.245268e-02  1.515354e-02  1.243881e+02  4.669427e-01  2.193466e+00
3.262567e-02  1.522148e-02  1.229145e+02  4.665494e-01  2.199424e+00
3.279971e-02  1.528975e-02  1.214598e+02  4.661551e-01  2.205377e+00
3.297481e-02  1.535835e-02  1.200236e+02  4.657601e-01  2.211325e+00
3.315097e-02  1.542728e-02  1.186057e+02  4.653643e-01  2.217266e+00
3.332821e-02  1.549654e-02  1.172059e+02  4.649678e-01  2.223203e+00
3.350653e-02  1.556615e-02  1.158239e+02  4.645706e-01  2.229133e+00
3.368593e-02  1.563609e-02  1.144594e+02  4.641728e-01  2.235059e+00
3.386643e-02  1.570638e-02  1.131122e+02  4.637743e-01  2.240978e+00
3.404803e-02  1.577702e-02  1.117822e+02  4.633754e-01  2.246893e+00
3.423074e-02  1.584801e-02  1.104689e+02  4.629760e-01  2.252802e+00
3.441457e-02  1.591936e-02  1.091723e+02  4.625761e-01  2.258705e+00
3.459952e-02  1.599106e-02  1.078921e+02  4.621757e-01  2.264603e+00
3.478560e-02  1.606313e-02  1.066280e+02  4.617751e-01  2.270496e+00
3.497283e-02  1.613556e-02  1.053799e+02  4.613741e-01  2.276383e+00
3.516120e-02  1.620836e-02  1.041475e+02  4.609728e-01  2.282265e+00
3.535073e-02  1.628153e-02  1.029305e+02  4.605713e-01  2.288142e+00
3.554142e-02  1.635508e-02  1.017289e+02  4.601696e-01  2.294013e+00
3.573329e-02  1.642901e-02  1.005424e+02  4.597677e-01  2.299879e+00
3.592633e-02  1.650332e-02  9.937076e+01  4.593657e-01  2.305740e+00
3.612056e-02  1.657802e-02  9.821379e+01  4.589636e-01  2.311595e+00
3.631598e-02  1.665311e-02  9.707130e+01  4.585615e-01  2.317446e+00
3.651261e-02  1.672860e-02  9.594309e+01  4.581594e-01  2.323291e+00
3.671045e-02  1.680448e-02  9.482897e+01  4.577574e-01  2.329131e+00
3.690951e-02  1.688077e-02  9.372874e+01  4.573554e-01  2.334966e+00
3.710980e-02  1.695746e-02  9.264223e+01  4.569536e-01  2.340796e+00
3.731132e-02  1.703456e-02  9.156924e+01  4.565519e-01  2.346621e+00
3.751409e-02  1.711207e-02  9.050958e+01  4.561505e-01  2.352441e+00
3.771811e-02  1.719000e-02  8.946309e+01  4.557492e-01  2.358256e+00
3.792339e-02  1.726835e-02  8.842958e+01  4.553483e-01  2.364066e+00
3.812994e-02  1.734713e-02  8.740888e+01  4.549477e-01  2.369870e+00
3.833777e-02  1.742633e-02  8.640081e+01  4.545474e-01  2.375670e+00
3.854689e-02  1.750597e-02  8.540520e+01  4.541475e-01  2.381465e+00
3.875729e-02  1.758605e-02  8.442189e+01  4.537481e-01  2.387255e+00
3.896901e-02  1.766656e-02  8.345071e+01  4.533491e-01  2.393041e+00
3.918203e-02  1.774752e-02  8.249150e+01  4.529506e-01  2.398821e+00
3.939638e-02  1.782893e-02  8.154410e+01  4.525526e-01  2.404597e+00
3.961205e-02  1.791080e-02  8.060835e+01  4.521553e-01  2.410368e+00
3.982906e-02  1.799312e-02  7.968409e+01  4.517585e-01  2.416134e+00
4.004742e-02  1.807590e-02  7.877117e+01  4.513624e-01  2.421895e+00
4.026714e-02  1.815915e-02  7.786944e+01  4.509669e-01  2.427652e+00
4.048822e-02  1.824287e-02  7.697874e+01  4.505722e-01  2.433404e+00
4.071067e-02  1.832706e-02  7.609894e+01  4.501782e-01  2.439152e+00
4.093451e-02  1.841173e-02  7.522989e+01  4.497850e-01  2.444894e+00
4.115974e-02  1.849688e-02  7.437144e+01  4.493926e-01  2.450633e+00
4.138636e-02  1.858252e-02  7.352345e+01  4.490011e-01  2.456367e+00
4.161440e-02  1.866866e-02  7.268578e+01  4.486104e-01  2.462096e+00
4.184386e-02  1.875528e-02  7.185830e+01  4.482207e-01  2.467821e+00
4.207475e-02  1.884241e-02  7.104088e+01  4.478319e-01  2.473541e+00
4.230707e-02  1.893005e-02  7.023337e+01  4.474441e-01  2.479257e+00
4.254084e-02  1.901819e-02  6.943565e+01  4.470573e-01  2.484969e+00
4.277607e-02  1.910685e-02  6.864758e+01  4.466715e-01  2.490676e+00
4.301276e-02  1.919603e-02  6.786905e+01  4.462868e-01  2.496379e+00
4.325093e-02  1.928573e-02  6.709992e+01  4.459032e-01  2.502077e+00
4.349058e-02  1.937595e-02  6.634007e+01  4.455207e-01  2.507772e+00
4.373172e-02  1.946671e-02  6.558938e+01  4.451394e-01  2.513462e+00
4.397437e-02  1.955801e-02  6.484773e+01  4.447593e-01  2.519148e+00
4.421854e-02  1.964985e-02  6.411499e+01  4.443804e-01  2.524830e+00
